pair_id,judge_id,score
P01,claude,2
P02,claude,1
P03,claude,1
P04,claude,1
P05,claude,3
P06,claude,1
P07,claude,1
P08,claude,2
P09,claude,3
P10,claude,4
P11,claude,2
P12,claude,2
P13,claude,3
P14,claude,4
P15,claude,2
P16,claude,1
P17,claude,2
P18,claude,2
P19,claude,1
P20,claude,2
P21,claude,4
P22,claude,3
P23,claude,3
P24,claude,4
P25,claude,4
P26,claude,4
P27,claude,3
P28,claude,2
P29,claude,3
P30,claude,2
P31,claude,3
P32,claude,2
P33,claude,3
P34,claude,5
P35,claude,4
P36,claude,4
P37,claude,4
P38,claude,4
P39,claude,4
P40,claude,4
P41,claude,5
P42,claude,4
P43,claude,3
P44,claude,4
P45,claude,4
P46,claude,4
P47,claude,4
P48,claude,4
P49,claude,4
P50,claude,3
P51,claude,4
P52,claude,4
P53,claude,4
P54,claude,4
P55,claude,5
P56,claude,4
P57,claude,4
P58,claude,4
P59,claude,4
P60,claude,4
P01,gemini,3
P02,gemini,3
P03,gemini,1
P04,gemini,1
P05,gemini,1
P06,gemini,1
P07,gemini,1
P08,gemini,1
P09,gemini,3
P10,gemini,4
P11,gemini,1
P12,gemini,1
P13,gemini,1
P14,gemini,1
P15,gemini,3
P16,gemini,3
P17,gemini,1
P18,gemini,1
P19,gemini,1
P20,gemini,1
P21,gemini,4
P22,gemini,3
P23,gemini,1
P24,gemini,3
P25,gemini,4
P26,gemini,1
P27,gemini,1
P28,gemini,3
P29,gemini,1
P30,gemini,1
P31,gemini,1
P32,gemini,1
P33,gemini,1
P34,gemini,4
P35,gemini,1
P36,gemini,3
P37,gemini,4
P38,gemini,3
P39,gemini,3
P40,gemini,4
P41,gemini,5
P42,gemini,4
P43,gemini,3
P44,gemini,4
P45,gemini,3
P46,gemini,4
P47,gemini,4
P48,gemini,3
P49,gemini,4
P50,gemini,3
P51,gemini,4
P52,gemini,3
P53,gemini,4
P54,gemini,3
P55,gemini,3
P56,gemini,1
P57,gemini,4
P58,gemini,3
P59,gemini,3
P60,gemini,3
P01,deepseek,1
P02,deepseek,3
P03,deepseek,1
P04,deepseek,1
P05,deepseek,1
P06,deepseek,1
P07,deepseek,1
P08,deepseek,2
P09,deepseek,3
P10,deepseek,2
P11,deepseek,1
P12,deepseek,1
P13,deepseek,1
P14,deepseek,3
P15,deepseek,2
P16,deepseek,1
P17,deepseek,1
P18,deepseek,1
P19,deepseek,1
P20,deepseek,1
P21,deepseek,4
P22,deepseek,3
P23,deepseek,3
P24,deepseek,1
P25,deepseek,4
P26,deepseek,1
P27,deepseek,1
P28,deepseek,2
P29,deepseek,1
P30,deepseek,1
P31,deepseek,3
P32,deepseek,1
P33,deepseek,1
P34,deepseek,5
P35,deepseek,3
P36,deepseek,3
P37,deepseek,5
P38,deepseek,4
P39,deepseek,3
P40,deepseek,5
P41,deepseek,1
P42,deepseek,4
P43,deepseek,1
P44,deepseek,4
P45,deepseek,1
P46,deepseek,4
P47,deepseek,4
P48,deepseek,3
P49,deepseek,3
P50,deepseek,4
P51,deepseek,4
P52,deepseek,1
P53,deepseek,3
P54,deepseek,3
P55,deepseek,5
P56,deepseek,3
P57,deepseek,4
P58,deepseek,4
P59,deepseek,4
P60,deepseek,2
