model,metric,n_patients,k_conditions,friedman_chi2,friedman_p,kendall_w,friedman_significant_05,note
Gemma-3-4B-it,bertscore_f1_mean,91,4,57.197802197802275,2.33178155848673e-12,0.2095157589663087,True,
Phi-4-mini-instruct,bertscore_f1_mean,100,4,58.47600000000011,1.2438612859377978e-12,0.19492000000000037,True,
Qwen-MediCare-BD,bertscore_f1_mean,99,4,148.20000000000005,6.442351505322596e-32,0.49898989898989915,True,
Gemma-3-4B-it,rougeL_f1_mean,91,4,53.083516483516405,1.7597158068717965e-11,0.19444511532423592,True,
Phi-4-mini-instruct,rougeL_f1_mean,100,4,22.90800000000013,4.220592467854558e-05,0.07636000000000043,True,
Qwen-MediCare-BD,rougeL_f1_mean,99,4,80.5393939393939,2.3514316872362436e-17,0.27117641057034986,True,
Gemma-3-4B-it,medcon_f1_mean,91,4,40.68791208791208,7.615710641822929e-09,0.14903997101799296,True,
Phi-4-mini-instruct,medcon_f1_mean,100,4,41.736000000000104,4.5645021877626e-09,0.13912000000000035,True,
Qwen-MediCare-BD,medcon_f1_mean,99,4,27.169696969697043,5.424263124611935e-06,0.09148046117743112,True,
Gemma-3-4B-it,numeric_jaccard_mean,91,4,9.387096774193642,0.024563297008889724,0.03438496986884118,True,
Phi-4-mini-instruct,numeric_jaccard_mean,100,4,14.823343848580421,0.0019740092705299197,0.04941114616193474,True,
Qwen-MediCare-BD,numeric_jaccard_mean,99,4,79.88484848484859,3.248895543524652e-17,0.268972553821039,True,
Gemma-3-4B-it,nli_contradiction_max_mean,91,4,39.514285714285734,1.3505170506219744e-08,0.14474097331240196,True,
Phi-4-mini-instruct,nli_contradiction_max_mean,100,4,20.784000000000106,0.00011672878007634446,0.06928000000000036,True,
Qwen-MediCare-BD,nli_contradiction_max_mean,99,4,55.37575757575746,5.7088342607702596e-12,0.1864503622079376,True,
Gemma-3-4B-it,nli_contradiction_mean_mean,91,4,44.68351648351654,1.0802485474186024e-09,0.16367588455500565,True,
Phi-4-mini-instruct,nli_contradiction_mean_mean,100,4,21.45600000000013,8.464246615857818e-05,0.07152000000000043,True,
Qwen-MediCare-BD,nli_contradiction_mean_mean,99,4,42.066666666666606,3.883535088049819e-09,0.14163860830527478,True,
Gemma-3-4B-it,nli_contradiction_q90_mean,91,4,42.758241758241866,2.7697351982876333e-09,0.15662359618403615,True,
Phi-4-mini-instruct,nli_contradiction_q90_mean,100,4,20.47199999999998,0.0001354949870794202,0.06823999999999994,True,
Qwen-MediCare-BD,nli_contradiction_q90_mean,99,4,56.58787878787871,3.1468852450107032e-12,0.19053157841036603,True,
