pair_id,judge_id,category
BVAL-001,claude,C
BVAL-002,claude,C
BVAL-003,claude,A
BVAL-004,claude,C
BVAL-005,claude,A
BVAL-006,claude,C
BVAL-007,claude,C
BVAL-008,claude,A
BVAL-009,claude,A
BVAL-010,claude,A
BVAL-011,claude,A
BVAL-012,claude,A
BVAL-013,claude,A
BVAL-014,claude,A
BVAL-015,claude,A
BVAL-016,claude,A
BVAL-017,claude,A
BVAL-018,claude,A
BVAL-019,claude,A
BVAL-020,claude,A
BVAL-021,claude,A
BVAL-022,claude,A
BVAL-023,claude,A
BVAL-024,claude,A
BVAL-025,claude,A
BVAL-001,gemini,A
BVAL-002,gemini,C
BVAL-003,gemini,A
BVAL-004,gemini,C
BVAL-005,gemini,A
BVAL-006,gemini,D
BVAL-007,gemini,D
BVAL-008,gemini,A
BVAL-009,gemini,A
BVAL-010,gemini,A
BVAL-011,gemini,A
BVAL-012,gemini,C
BVAL-013,gemini,A
BVAL-014,gemini,A
BVAL-015,gemini,C
BVAL-016,gemini,D
BVAL-017,gemini,D
BVAL-018,gemini,A
BVAL-019,gemini,A
BVAL-020,gemini,D
BVAL-021,gemini,A
BVAL-022,gemini,A
BVAL-023,gemini,A
BVAL-024,gemini,A
BVAL-025,gemini,D
BVAL-001,deepseek,A
BVAL-002,deepseek,C
BVAL-003,deepseek,A
BVAL-004,deepseek,A
BVAL-005,deepseek,A
BVAL-006,deepseek,C
BVAL-007,deepseek,A
BVAL-008,deepseek,A
BVAL-009,deepseek,A
BVAL-010,deepseek,A
BVAL-011,deepseek,A
BVAL-012,deepseek,A
BVAL-013,deepseek,A
BVAL-014,deepseek,A
BVAL-015,deepseek,C
BVAL-016,deepseek,A
BVAL-017,deepseek,A
BVAL-018,deepseek,A
BVAL-019,deepseek,A
BVAL-020,deepseek,A
BVAL-021,deepseek,A
BVAL-022,deepseek,A
BVAL-023,deepseek,A
BVAL-024,deepseek,A
BVAL-025,deepseek,A
