metric,model,quant_pair,between_quant_abs_median_diff,subsample_noise_mean_absdiff,noise_pct_of_effect,effect_ci_excludes_zero,effect_holm_sig,verdict
nli_contradiction_max_mean,Gemma-3-4B-it,Q6_K_vs_Q3_K_M,0.021909,0.019095,87.2,True,False,noise comparable/exceeds (unreliable)
nli_contradiction_max_mean,Gemma-3-4B-it,Q4_K_M_vs_Q3_K_M,0.013536,0.019095,141.1,False,False,noise comparable/exceeds (unreliable)
nli_contradiction_max_mean,Gemma-3-4B-it,Q5_K_M_vs_Q3_K_M,0.012674,0.019095,150.7,False,False,noise comparable/exceeds (unreliable)
nli_contradiction_max_mean,Gemma-3-4B-it,Q6_K_vs_Q4_K_M,0.005153,0.019095,370.5,False,False,noise comparable/exceeds (unreliable)
nli_contradiction_max_mean,Gemma-3-4B-it,Q5_K_M_vs_Q4_K_M,0.002167,0.019095,881.3,False,False,noise comparable/exceeds (unreliable)
nli_contradiction_max_mean,Gemma-3-4B-it,Q6_K_vs_Q5_K_M,0.000699,0.019095,2731.9,False,False,noise comparable/exceeds (unreliable)
nli_contradiction_mean_mean,Gemma-3-4B-it,Q6_K_vs_Q3_K_M,0.056011,0.006251,11.2,True,False,noise<<effect (safe)
nli_contradiction_mean_mean,Gemma-3-4B-it,Q4_K_M_vs_Q3_K_M,0.04391,0.006251,14.2,True,False,noise<<effect (safe)
nli_contradiction_mean_mean,Gemma-3-4B-it,Q5_K_M_vs_Q3_K_M,0.027805,0.006251,22.5,True,False,noise<<effect (safe)
nli_contradiction_mean_mean,Gemma-3-4B-it,Q6_K_vs_Q4_K_M,0.009632,0.006251,64.9,False,False,noise comparable/exceeds (unreliable)
nli_contradiction_mean_mean,Gemma-3-4B-it,Q6_K_vs_Q5_K_M,0.005547,0.006251,112.7,False,False,noise comparable/exceeds (unreliable)
nli_contradiction_mean_mean,Gemma-3-4B-it,Q5_K_M_vs_Q4_K_M,0.004889,0.006251,127.9,False,False,noise comparable/exceeds (unreliable)
nli_contradiction_q90_mean,Gemma-3-4B-it,Q6_K_vs_Q3_K_M,0.089618,0.017845,19.9,True,False,noise<<effect (safe)
nli_contradiction_q90_mean,Gemma-3-4B-it,Q5_K_M_vs_Q3_K_M,0.076242,0.017845,23.4,False,False,noise<<effect (safe)
nli_contradiction_q90_mean,Gemma-3-4B-it,Q4_K_M_vs_Q3_K_M,0.075889,0.017845,23.5,False,False,noise<<effect (safe)
nli_contradiction_q90_mean,Gemma-3-4B-it,Q6_K_vs_Q5_K_M,0.021184,0.017845,84.2,False,False,noise comparable/exceeds (unreliable)
nli_contradiction_q90_mean,Gemma-3-4B-it,Q6_K_vs_Q4_K_M,0.014874,0.017845,120.0,False,False,noise comparable/exceeds (unreliable)
nli_contradiction_q90_mean,Gemma-3-4B-it,Q5_K_M_vs_Q4_K_M,0.003779,0.017845,472.2,False,False,noise comparable/exceeds (unreliable)
